t m Vx Vy x y h v r ϑ θc α ϕ
0.0000000 3000.0000000 0.0000000 0.0000000 0.0000000 0.0000000 177000.0000000 0.0000000 1738000.0000000 90.0000000 0.0000000 0.0000000 0.0000000
0.1000000 2999.7065714 0.0000000 0.1800337 0.0000000 0.0090014 177000.0000000 0.1800337 1738000.0090014 90.0000000 90.0000000 0.0000000 0.0000000
0.2000000 2999.4131429 0.0000000 0.3601009 0.0000000 0.0360079 177000.0000000 0.3601009 1738000.0360079 90.0000000 90.0000000 0.0000000 0.0000000
0.3000000 2999.1197143 0.0000000 0.5402016 0.0000000 0.0810227 177000.0000000 0.5402016 1738000.0810227 90.0000000 90.0000000 0.0000000 0.0000000
0.4000000 2998.8262857 0.0000000 0.7203358 0.0000000 0.1440493 177000.0000000 0.7203358 1738000.1440493 90.0000000 90.0000000 0.0000000 0.0000000
0.5000000 2998.5328571 0.0000000 0.9005035 0.0000000 0.2250910 177000.0000000 0.9005035 1738000.2250910 90.0000000 90.0000000 0.0000000 0.0000000
0.6000000 2998.2394286 0.0000000 1.0807048 0.0000000 0.3241511 177000.0000000 1.0807048 1738000.3241511 90.0000000 90.0000000 0.0000000 0.0000000
0.7000000 2997.9460000 0.0000000 1.2609396 0.0000000 0.4412330 177000.0000000 1.2609396 1738000.4412330 90.0000000 90.0000000 0.0000000 0.0000000
0.8000000 2997.6525714 0.0000000 1.4412079 0.0000000 0.5763401 177000.0000000 1.4412079 1738000.5763401 90.0000000 90.0000000 0.0000000 0.0000000
0.9000000 2997.3591429 0.0000000 1.6215099 0.0000000 0.7294758 177000.0000000 1.6215099 1738000.7294758 90.0000000 90.0000000 0.0000000 0.0000000
1.0000000 2997.0657143 0.0000000 1.8018454 0.0000000 0.9006432 177000.0000000 1.8018454 1738000.9006432 90.0000000 90.0000000 0.0000000 0.0000000
1.1000000 2996.7722857 0.0000000 1.9822144 0.0000000 1.0898459 177000.0000000 1.9822144 1738001.0898459 90.0000000 90.0000000 0.0000000 0.0000000
1.2000000 2996.4788571 0.0000000 2.1626171 0.0000000 1.2970872 177000.0000000 2.1626171 1738001.2970872 90.0000000 90.0000000 0.0000000 0.0000000
1.3000000 2996.1854286 0.0000000 2.3430534 0.0000000 1.5223705 177000.0000000 2.3430534 1738001.5223705 90.0000000 90.0000000 0.0000000 0.0000000
1.4000000 2995.8920000 0.0000000 2.5235233 0.0000000 1.7656990 177000.0000000 2.5235233 1738001.7656990 90.0000000 90.0000000 0.0000000 0.0000000
1.5000000 2995.5985714 0.0000000 2.7040268 0.0000000 2.0270763 177000.0000000 2.7040268 1738002.0270763 90.0000000 90.0000000 0.0000000 0.0000000
